Epoch,Train_Loss,Val_Accuracy
1,2.840437056267098,0.08764331042766571
2,2.8859729995466257,0.11643311381340027
3,2.812769844107432,0.1205095499753952
4,2.660933746050482,0.14522291719913483
5,2.3360823311217844,0.14547769725322723
6,2.2745750015729094,0.1684076339006424
7,2.2624854616922874,0.16789807379245758
8,2.248015929574836,0.1745222806930542
9,2.222866368620363,0.1717197299003601
10,2.2127550856707847,0.19745221734046936
11,2.2364006663021976,0.17375795543193817
12,2.233472370121577,0.16152864694595337
13,2.2404089365919977,0.18904457986354828
14,2.2407666363128245,0.18267515301704407
15,2.255400925466459,0.16713374853134155
16,2.2344466823421114,0.19184713065624237
17,2.21555008626964,0.18242037296295166
18,2.222470655833205,0.2076433002948761
19,2.203873575550236,0.18522292375564575
20,2.2151717421126693,0.18598724901676178
21,2.2102028931656927,0.1834394782781601
22,2.2215570717641753,0.21222928166389465
23,2.212573711186239,0.18751591444015503
24,2.2228453094012117,0.20101909339427948
25,2.206805748482273,0.1778343915939331
26,2.240386267230935,0.1622929871082306
27,2.2085274604901874,0.18904457986354828
28,2.2244044885243457,0.1808917075395584
29,2.222281975288914,0.18751591444015503
30,2.2013122774150276,0.21019107103347778
31,2.183967061238746,0.21146495640277863
32,2.1961403970849025,0.20407642424106598
33,2.202775341190704,0.19617833197116852
34,2.214677232585541,0.16815285384655
35,2.213282591676059,0.1839490383863449
36,2.2010384291818696,0.21248406171798706
37,2.201130909462498,0.19770699739456177
38,2.2075495523949193,0.18191081285476685
39,2.209593655311898,0.18777069449424744
40,2.205968732703222,0.18904457986354828
41,2.19906951956553,0.17248407006263733
42,2.211532870384112,0.17910827696323395
43,2.1781071832735246,0.18726113438606262
44,2.1897183640362465,0.20356686413288116
45,2.1884075288903224,0.20280253887176514
46,2.19293448369797,0.192356675863266
47,2.1986245292506807,0.20050954818725586
48,2.2031003547041386,0.1931210160255432
49,2.1875811504991085,0.18191081285476685
50,2.190495703318348,0.21528661251068115
51,2.1968204387246746,0.21477705240249634
52,2.1865882122353333,0.15719744563102722
53,2.2258152602470083,0.1385987251996994
54,2.205895959514461,0.20050954818725586
55,2.2089371321952505,0.19464966654777527
56,2.236195394437607,0.19617833197116852
57,2.189422805015355,0.17987260222434998
58,2.239494026523747,0.17070062458515167
59,2.1945699926925033,0.20687897503376007
60,2.2269095655989974,0.19719743728637695
61,2.2428974811344933,0.19694265723228455
62,2.1785972118377686,0.17197450995445251
63,2.23722943214521,0.15694266557693481
64,2.247036881642799,0.16687896847724915
65,2.2051030707685917,0.18522292375564575
66,2.215618319707374,0.18242037296295166
67,2.221523497202625,0.18191081285476685
68,2.204193027052161,0.1898089051246643
69,2.231701184625495,0.1477706879377365
70,2.267908903017436,0.1385987251996994
71,2.2479957423798025,0.1808917075395584
72,2.2225239342206144,0.19464966654777527
73,2.2231610997082436,0.19108279049396515
74,2.232012872826563,0.18777069449424744
75,2.2037289371229196,0.18420381844043732
76,2.1914978974486052,0.16713374853134155
77,2.225244750715282,0.1475159227848053
78,2.2551303334432107,0.15235668420791626
79,2.234064121768899,0.17324839532375336
80,2.2102470071348423,0.18292993307113647
81,2.2034617450139296,0.17859871685504913
82,2.2092998583022863,0.1864968091249466
83,2.2186645302054,0.19388534128665924
84,2.20155432779495,0.1982165426015854
85,2.1970512573033165,0.180636927485466
86,2.2092522137785613,0.19414012134075165
87,2.221672776627214,0.1803821623325348
88,2.233828253941993,0.14598725736141205
89,2.2323735250185615,0.1653503030538559
90,2.21175306137294,0.17859871685504913
91,2.200754701274715,0.18777069449424744
92,2.2148872924177616,0.18777069449424744
93,2.2266078403551286,0.1898089051246643
94,2.2218754291534424,0.19439490139484406
95,2.175056855972499,0.20407642424106598
96,2.185459662790168,0.21324840188026428
97,2.200175615206157,0.20866240561008453
98,2.1972155538323808,0.19923566281795502
99,2.2028004110675967,0.2081528604030609
100,2.1890891251498705,0.2137579470872879
