Epoch,Train_Loss,Val_Accuracy
1,1.8403550321108675,0.4155413806438446
2,1.4783532815436795,0.4058598577976227
3,1.2758613906494558,0.5732483863830566
4,1.1578673532564345,0.4868789613246918
5,1.0715829329947903,0.5442038178443909
6,1.006044815664422,0.5401273369789124
7,0.9246777312396324,0.547515869140625
8,0.9062555171039006,0.6030572652816772
9,0.8544798664850731,0.7317197322845459
10,0.8003766520382607,0.6338853240013123
11,0.7725655060924895,0.706242024898529
12,0.728399346544318,0.7429298758506775
13,0.7063506217035529,0.6746496558189392
14,0.6803615260614108,0.7187260985374451
15,0.6731528896991521,0.7663694024085999
16,0.6303820058907548,0.7505732178688049
17,0.583815625269119,0.765859842300415
18,0.5995811134168546,0.7156687378883362
19,0.578224489950154,0.7312101721763611
20,0.5625063209501031,0.8025477528572083
21,0.5400115378098945,0.7342674732208252
22,0.5126599404093337,0.778343915939331
23,0.49920176928990506,0.7541400790214539
24,0.49119331942845695,0.8063693642616272
25,0.47279419066154793,0.7375795841217041
26,0.46843261424809285,0.7999999523162842
27,0.44502356872983173,0.8096814751625061
28,0.4287102598033539,0.7431846857070923
29,0.41368885113768383,0.7979617118835449
30,0.40236569042891673,0.7926114201545715
31,0.3892244118941973,0.7966878414154053
32,0.3840831097674696,0.7752865552902222
33,0.39244049991646857,0.8112101554870605
34,0.36779328384628035,0.7587260603904724
35,0.36012565191477947,0.7577069401741028
36,0.3297815071801617,0.7393630146980286
37,0.3537832598571908,0.8420381546020508
38,0.32487808821136005,0.8094267249107361
39,0.32546213799959994,0.8056050539016724
40,0.33805006334226423,0.8262419700622559
41,0.2959114590736285,0.8275159001350403
42,0.2932678512106203,0.8300636410713196
43,0.287268215866938,0.8091719150543213
44,0.26988495865913287,0.7329936027526855
45,0.2657811108925571,0.7954139709472656
46,0.24720692716232717,0.7870063185691833
47,0.2608545902248931,0.8341400623321533
48,0.2795771054209095,0.806878924369812
49,0.25014085700250654,0.7039490342140198
50,0.2177778080309907,0.837961733341217
51,0.22258679150310282,0.8267515301704407
52,0.2300621676322532,0.8071337342262268
53,0.20897216390665263,0.8389808535575867
54,0.2428825876280053,0.8264967799186707
55,0.2294148483300862,0.7729935646057129
56,0.23385275318606258,0.8022929430007935
57,0.21055567968789846,0.8484076261520386
58,0.16172128298307117,0.8208916783332825
59,0.16179239178357058,0.8491719365119934
60,0.20520478854440663,0.8099362850189209
61,0.1870017236430351,0.8089171648025513
62,0.153383921117407,0.859872579574585
63,0.16419190918541934,0.8214012384414673
64,0.1836660187946607,0.8517196774482727
65,0.16384325635759797,0.8349044322967529
66,0.1642222242710525,0.8509553670883179
67,0.14705237052212022,0.8366878628730774
68,0.1785861981445796,0.7999999523162842
69,0.17367297232355158,0.8570700287818909
70,0.14115105870447747,0.8522292375564575
71,0.14788686172807053,0.8384712934494019
72,0.14052194989707373,0.8443311452865601
73,0.1327061126493428,0.812738835811615
74,0.14279529993256476,0.8519744873046875
75,0.14028520611663386,0.8346496224403381
76,0.13070695092008539,0.8514649271965027
77,0.12083600701330459,0.8552865982055664
78,0.11973564584471591,0.8603821396827698
79,0.13105180211467285,0.837706983089447
80,0.1323458957549644,0.7949044108390808
81,0.12343026187321911,0.8142674565315247
82,0.13697773953006692,0.8201273679733276
83,0.11410084849044885,0.8715922832489014
84,0.10228796823792262,0.8489171266555786
85,0.10921016309971679,0.8387260437011719
86,0.12103605214251231,0.8570700287818909
87,0.11424625408516763,0.8517196774482727
88,0.11248384758013569,0.8570700287818909
89,0.1049557665286407,0.8583438992500305
90,0.10423762853933524,0.8642037510871887
91,0.09488155963282062,0.8201273679733276
92,0.09151763757308053,0.8682802319526672
93,0.09715172185320152,0.854012668132782
94,0.07909315750513175,0.8764330744743347
95,0.09893874803634539,0.8524840474128723
96,0.11967527917394899,0.853757917881012
97,0.08680090338808216,0.8552865982055664
98,0.086775717618939,0.8591082096099854
99,0.09632757232103446,0.8188534379005432
100,0.09083905928347209,0.8389808535575867
