Epoch,Train_Loss,Val_Accuracy
1,2.064072357597998,0.32968151569366455
2,1.6309313966056047,0.5256050825119019
3,1.3582366599874982,0.6107006072998047
4,1.2176778047771777,0.6078980565071106
5,1.113159785230281,0.6805095076560974
6,1.005089746289334,0.7238216400146484
7,0.9357199844667468,0.6957961320877075
8,0.8704369733899326,0.6947770118713379
9,0.8115757531028683,0.7021655440330505
10,0.7616613722453683,0.7668789625167847
11,0.7585541432186709,0.7847133278846741
12,0.6921873724056502,0.7829298973083496
13,0.6645176217212515,0.7872611284255981
14,0.6484306212198936,0.7949044108390808
15,0.6076521927017277,0.771974503993988
16,0.5891518400887311,0.7974522113800049
17,0.5685999869795169,0.7905731797218323
18,0.5371615907903445,0.7951592206954956
19,0.5237411125231597,0.7566878795623779
20,0.49843243532261605,0.8058598041534424
21,0.4852938193891008,0.8170700073242188
22,0.45948170855388804,0.837706983089447
23,0.4641136563177836,0.8229299187660217
24,0.4372373235175165,0.7898088693618774
25,0.41730539346650497,0.8275159001350403
26,0.41999263494449146,0.8198725581169128
27,0.40629853991381193,0.8450955152511597
28,0.4011795322016134,0.8147770166397095
29,0.3835611299943116,0.8578343391418457
30,0.3619858975885278,0.8647133111953735
31,0.348475172219135,0.8107005953788757
32,0.3480300393776368,0.8216559886932373
33,0.34110688853819493,0.856560468673706
34,0.34110967592667724,0.8583438992500305
35,0.3169080732863838,0.8448407053947449
36,0.3182199128224688,0.8504458069801331
37,0.30606084561480557,0.862675130367279
38,0.29509676167015303,0.8705732226371765
39,0.29158636981905517,0.8494266867637634
40,0.27528279816447676,0.8593630194664001
41,0.27242243375502906,0.8585987091064453
42,0.2671872891106848,0.8746496438980103
43,0.264360537986129,0.8603821396827698
44,0.2615201012057773,0.8721018433570862
45,0.25537822324214343,0.8631846904754639
46,0.23311398918345824,0.8624203205108643
47,0.24411683678627014,0.8504458069801331
48,0.23128875209555283,0.8642037510871887
49,0.22603302810783105,0.8507006168365479
50,0.2148895742087546,0.865987241268158
51,0.22502305955641855,0.8522292375564575
52,0.20252482190538765,0.8675158619880676
53,0.20641786911351195,0.878726065158844
54,0.21105695505137162,0.878980815410614
55,0.1858514584885058,0.8802547454833984
56,0.19471509196653458,0.8713375329971313
57,0.18725583998454828,0.8807643055915833
58,0.17737375529072547,0.8917196989059448
59,0.19327108479278574,0.854012668132782
60,0.16894287084529208,0.8749043941497803
61,0.16925320239200936,0.8708279728889465
62,0.17510554532094275,0.8754139542579651
63,0.1610505829691508,0.8677706718444824
64,0.16785958021626635,0.8700636625289917
65,0.1476442910383566,0.8738852739334106
66,0.1572016966844893,0.872611403465271
67,0.1499528641110065,0.884840726852417
68,0.15918814166433226,0.8603821396827698
69,0.16566101546730783,0.8914649486541748
70,0.14833969874781067,0.8649681210517883
71,0.14205676134423179,0.8901910185813904
72,0.14123730229497966,0.8634394407272339
73,0.14390395739889245,0.8866241574287415
74,0.12083221747997706,0.8866241574287415
75,0.12310443630706425,0.8820381760597229
76,0.11270303928167007,0.8764330744743347
77,0.1205772031082819,0.8889171481132507
78,0.12731960920806407,0.8907005786895752
79,0.11762750082791357,0.8779617547988892
80,0.12030727593386072,0.8876432776451111
81,0.12330137320352182,0.8881528377532959
82,0.11029057411587466,0.8680254220962524
83,0.1157537785919099,0.8843311667442322
84,0.1277779950997082,0.8698088526725769
85,0.10398919773722162,0.8805094957351685
86,0.10963684670485051,0.8705732226371765
87,0.09187020390704906,0.8907005786895752
88,0.1013098588331713,0.8878980278968811
89,0.10518120523873653,0.878726065158844
90,0.10300373785608148,0.8817833662033081
91,0.10740391647253754,0.8914649486541748
92,0.09824400827746396,0.8779617547988892
93,0.09881605128047324,0.8731209635734558
94,0.0905310904622962,0.8957961201667786
95,0.08305308067366102,0.8945222496986389
96,0.09870218325808834,0.8942674398422241
97,0.08536313738579214,0.8853502869606018
98,0.07948567183309439,0.8942674398422241
99,0.09292611089984934,0.8881528377532959
100,0.08883670982825806,0.8996177911758423
